"age"	"attitude"	"points"	"gender"	"deep"	"stra"
"1"	53	37	25	"F"	NA	NA
"2"	55	31	12	"M"	NA	NA
"3"	49	25	24	"F"	NA	NA
"4"	53	35	10	"M"	NA	NA
"5"	49	37	22	"M"	NA	NA
"6"	38	38	21	"F"	NA	NA
"7"	50	35	21	"M"	NA	NA
"8"	37	29	31	"F"	NA	NA
"9"	37	38	24	"M"	NA	NA
"10"	42	21	26	"F"	NA	NA
"11"	37	39	31	"M"	NA	NA
"12"	34	38	31	"F"	NA	NA
"13"	34	24	23	"F"	NA	NA
"14"	34	30	25	"F"	NA	NA
"15"	35	26	21	"M"	NA	NA
"16"	46	25	0	"F"	NA	NA
"17"	33	41	31	"F"	NA	NA
"18"	32	26	20	"F"	NA	NA
"19"	44	26	22	"F"	NA	NA
"20"	29	17	9	"M"	NA	NA
"21"	30	27	24	"F"	NA	NA
"22"	27	39	28	"M"	NA	NA
"23"	29	34	30	"M"	NA	NA
"24"	31	27	24	"F"	NA	NA
"25"	37	23	9	"F"	NA	NA
"26"	26	37	26	"F"	NA	NA
"27"	26	44	32	"F"	NA	NA
"28"	30	41	32	"M"	NA	NA
"29"	37	24	0	"F"	NA	NA
"30"	33	37	33	"F"	NA	NA
"31"	33	25	29	"F"	NA	NA
"32"	28	30	30	"M"	NA	NA
"33"	26	34	19	"M"	NA	NA
"34"	27	32	23	"F"	NA	NA
"35"	25	20	19	"F"	NA	NA
"36"	31	24	12	"F"	NA	NA
"37"	20	42	10	"M"	NA	NA
"38"	39	16	11	"F"	NA	NA
"39"	38	31	20	"M"	NA	NA
"40"	24	38	26	"M"	NA	NA
"41"	26	38	31	"M"	NA	NA
"42"	25	33	20	"M"	NA	NA
"43"	30	17	23	"F"	NA	NA
"44"	25	25	12	"F"	NA	NA
"45"	30	32	24	"M"	NA	NA
"46"	48	35	17	"F"	NA	NA
"47"	24	32	29	"F"	NA	NA
"48"	40	42	23	"F"	NA	NA
"49"	25	31	28	"M"	NA	NA
"50"	23	39	31	"F"	NA	NA
"51"	25	19	23	"F"	NA	NA
"52"	23	21	25	"F"	NA	NA
"53"	27	25	18	"M"	NA	NA
"54"	25	32	19	"M"	NA	NA
"55"	23	32	22	"M"	NA	NA
"56"	23	26	25	"F"	NA	NA
"57"	23	23	21	"F"	NA	NA
"58"	45	38	9	"F"	NA	NA
"59"	22	28	28	"F"	NA	NA
"60"	23	33	25	"F"	NA	NA
"61"	21	48	29	"M"	NA	NA
"62"	21	40	33	"M"	NA	NA
"63"	21	40	33	"F"	NA	NA
"64"	21	47	25	"F"	NA	NA
"65"	26	23	18	"F"	NA	NA
"66"	25	31	22	"F"	NA	NA
"67"	26	27	17	"F"	NA	NA
"68"	21	41	25	"M"	NA	NA
"69"	22	34	0	"F"	NA	NA
"70"	23	34	28	"F"	NA	NA
"71"	22	25	22	"F"	NA	NA
"72"	22	21	26	"F"	NA	NA
"73"	22	14	11	"F"	NA	NA
"74"	23	19	29	"F"	NA	NA
"75"	22	37	22	"M"	NA	NA
"76"	25	41	0	"M"	NA	NA
"77"	23	32	21	"M"	NA	NA
"78"	24	28	28	"M"	NA	NA
"79"	22	41	33	"F"	NA	NA
"80"	23	25	16	"F"	NA	NA
"81"	22	28	31	"M"	NA	NA
"82"	20	38	22	"M"	NA	NA
"83"	22	31	31	"M"	NA	NA
"84"	21	35	23	"M"	NA	NA
"85"	22	36	26	"F"	NA	NA
"86"	23	26	12	"F"	NA	NA
"87"	21	44	26	"M"	NA	NA
"88"	22	45	31	"M"	NA	NA
"89"	29	32	19	"M"	NA	NA
"90"	26	20	0	"F"	NA	NA
"91"	29	39	30	"F"	NA	NA
"92"	21	25	12	"F"	NA	NA
"93"	28	33	17	"M"	NA	NA
"94"	23	35	0	"M"	NA	NA
"95"	21	33	18	"F"	NA	NA
"96"	30	30	19	"F"	NA	NA
"97"	21	29	21	"F"	NA	NA
"98"	23	33	24	"M"	NA	NA
